Date,Open,High,Low,Close,Adj Close,Volume,Ticker
12/18/2017,53.822498,54.324501,53.518501,54.254501,54.254501,30292000,GOOGL
12/19/2017,54.151001,54.248501,53.613499,53.988998,53.988998,26350000,GOOGL
12/20/2017,54.046001,54.061501,53.43,53.678001,53.678001,28728000,GOOGL
12/21/2017,53.769501,53.875999,53.450001,53.5425,53.5425,25640000,GOOGL
12/22/2017,53.5,53.585999,53.382,53.443001,53.443001,17788000,GOOGL
12/26/2017,53.431999,53.443001,52.931999,53.2925,53.2925,18376000,GOOGL
12/27/2017,53.330002,53.413502,52.918999,53.009998,53.009998,22324000,GOOGL
12/28/2017,53.112499,53.242001,52.668999,52.797501,52.797501,19884000,GOOGL
12/29/2017,52.774502,52.9025,52.634998,52.669998,52.669998,23606000,GOOGL
1/2/2018,52.651001,53.799,52.651001,53.6605,53.6605,31766000,GOOGL
1/3/2018,53.696499,54.805,53.671501,54.576,54.576,31318000,GOOGL
1/4/2018,54.8545,55.203999,54.713001,54.787998,54.787998,26052000,GOOGL
1/5/2018,55.172501,55.679001,55.09,55.5145,55.5145,30250000,GOOGL
1/8/2018,55.549999,55.958,55.5,55.710499,55.710499,24644000,GOOGL
1/9/2018,55.922001,55.922001,55.41,55.6395,55.6395,26808000,GOOGL
1/10/2018,55.349998,55.639,55.199001,55.507,55.507,20734000,GOOGL
1/11/2018,55.615501,55.7425,55.324001,55.602501,55.602501,22424000,GOOGL
1/12/2018,55.505001,56.564999,55.400501,56.532501,56.532501,38586000,GOOGL
1/16/2018,57.015499,57.444,56.333,56.535,56.535,36462000,GOOGL
1/17/2018,56.818001,56.966,56.1745,56.955002,56.955002,27830000,GOOGL
1/18/2018,56.967499,57.029499,56.223,56.7985,56.7985,27498000,GOOGL
1/19/2018,56.901501,57.188999,56.625,57.174999,57.174999,30552000,GOOGL
1/22/2018,57.191002,58.344002,57.091,58.208,58.208,29550000,GOOGL
1/23/2018,58.530998,58.925499,58.362499,58.808498,58.808498,39138000,GOOGL
1/24/2018,59.249001,59.352501,58.369999,58.564499,58.564499,37128000,GOOGL
1/25/2018,59.0355,59.25,58.591999,59.106998,59.106998,29984000,GOOGL
1/26/2018,59.376499,59.377998,58.401501,59.377998,59.377998,42170000,GOOGL
1/29/2018,59.400002,59.900002,59.202999,59.324001,59.324001,31494000,GOOGL
1/30/2018,58.886002,59.3965,58.725498,58.8685,58.8685,37338000,GOOGL
1/31/2018,59.190498,59.316002,58.605,59.111,59.111,36022000,GOOGL
2/1/2018,58.7995,59.372501,58.467999,59.079498,59.079498,73514000,GOOGL
2/2/2018,56.370998,56.564999,55.558498,55.959999,55.959999,117842000,GOOGL
2/5/2018,55.030499,55.7495,52.837002,53.119499,53.119499,83550000,GOOGL
2/6/2018,51.699001,54.368999,51.5005,54.2215,54.2215,76630000,GOOGL
2/7/2018,54.248501,54.3265,52.730999,52.7705,52.7705,51942000,GOOGL
2/8/2018,52.9935,53.196499,50.235001,50.385502,50.385502,66792000,GOOGL
2/9/2018,51.293999,52.585999,49.849998,52.313499,52.313499,98360000,GOOGL
2/12/2018,52.8335,53.2785,52.274502,52.728001,52.728001,56240000,GOOGL
2/13/2018,52.5,53.061001,52.346001,52.707001,52.707001,31586000,GOOGL
2/14/2018,52.716,53.773499,52.490002,53.634998,53.634998,41304000,GOOGL
2/15/2018,54.172501,54.705002,53.3615,54.568001,54.568001,37396000,GOOGL
2/16/2018,54.668999,55.415501,54.577499,54.775002,54.775002,39948000,GOOGL
2/20/2018,54.638,55.814499,54.5,55.179501,55.179501,33754000,GOOGL
2/21/2018,55.455002,56.810001,55.3755,55.6875,55.6875,41486000,GOOGL
2/22/2018,55.9585,56.272999,55.2575,55.494999,55.494999,28010000,GOOGL
2/23/2018,55.932999,56.450001,55.422001,56.404499,56.404499,25292000,GOOGL
2/26/2018,56.592999,57.209999,56.466999,57.185001,57.185001,30912000,GOOGL
2/27/2018,57.185001,57.212502,55.8395,55.8755,55.8755,42964000,GOOGL
2/28/2018,56.099998,56.3825,55.150002,55.195999,55.195999,49292000,GOOGL
3/1/2018,55.477001,55.563499,53.364498,53.570499,53.570499,55338000,GOOGL
3/2/2018,52.898998,54.344501,52.505501,54.207001,54.207001,50162000,GOOGL
3/5/2018,53.906502,55.058998,53.613499,54.737999,54.737999,28648000,GOOGL
3/6/2018,55.105,55.281502,54.724998,55.044998,55.044998,23382000,GOOGL
3/7/2018,54.640999,55.810001,54.495499,55.751999,55.751999,30748000,GOOGL
3/8/2018,55.860001,56.571999,55.860001,56.469002,56.469002,33862000,GOOGL
3/9/2018,56.974998,58.049999,56.7145,58.042,58.042,42662000,GOOGL
3/12/2018,58.252499,58.908001,57.959999,58.296501,58.296501,44306000,GOOGL
3/13/2018,58.591499,58.900002,56.7285,56.995499,56.995499,43140000,GOOGL
3/14/2018,57.290001,57.987999,57.1175,57.4445,57.4445,41870000,GOOGL
3/15/2018,57.4785,58.125,56.783001,57.530499,57.530499,33382000,GOOGL
3/16/2018,57.767502,57.8405,56.568001,56.721001,56.721001,58656000,GOOGL
3/19/2018,55.888,55.968498,54.445999,55.003502,55.003502,63656000,GOOGL
3/20/2018,54.919998,55.2775,54.120998,54.790001,54.790001,54598000,GOOGL
3/21/2018,54.628502,55.435001,54.3605,54.700001,54.700001,44898000,GOOGL
3/22/2018,54.0005,54.195999,52.481998,52.657501,52.657501,69312000,GOOGL
3/23/2018,52.568501,53.339001,51.2435,51.327499,51.327499,49880000,GOOGL
3/26/2018,52.529999,52.963501,50.528999,52.704498,52.704498,65984000,GOOGL
3/27/2018,53.195,53.227001,49.881001,50.347,50.347,60816000,GOOGL
3/28/2018,50.095501,51.2495,49.200001,50.258999,50.258999,77698000,GOOGL
3/29/2018,50.560501,52.4025,50.202,51.856998,51.856998,69338000,GOOGL
4/2/2018,51.381001,51.976501,49.712502,50.6315,50.6315,65068000,GOOGL
4/3/2018,50.807499,51.25,49.862499,50.933998,50.933998,51322000,GOOGL
4/4/2018,49.911499,51.637001,49.8255,51.4855,51.4855,50724000,GOOGL
4/5/2018,52.3195,52.335499,51.200001,51.632,51.632,35836000,GOOGL
4/6/2018,51.154999,51.799999,50.3125,50.497501,50.497501,40134000,GOOGL
4/9/2018,51.001999,52.2295,50.959999,51.004501,51.004501,33220000,GOOGL
4/10/2018,51.513,52.060501,50.7705,51.825001,51.825001,36620000,GOOGL
4/11/2018,51.599998,51.793499,50.959999,51.252998,51.252998,34060000,GOOGL
4/12/2018,51.573502,52.232498,51.302502,51.864498,51.864498,32896000,GOOGL
4/13/2018,52.344501,52.648998,51.5075,51.801998,51.801998,25410000,GOOGL
4/16/2018,52.2775,52.571499,51.695999,52.305,52.305,29776000,GOOGL
4/17/2018,53.060001,54.25,52.8545,53.967999,53.967999,54584000,GOOGL
4/18/2018,53.9505,54.099998,53.526001,53.769501,53.769501,31126000,GOOGL
4/19/2018,53.451,54.8755,53.451,54.4725,54.4725,39884000,GOOGL
4/20/2018,54.213501,54.737499,53.605,53.866001,53.866001,42434000,GOOGL
4/23/2018,54.148998,54.400002,53.334,53.690498,53.690498,69590000,GOOGL
4/24/2018,52.959999,53.224499,50.643002,51.132,51.132,128220000,GOOGL
4/25/2018,51.487499,51.803501,50.850498,51.149502,51.149502,57860000,GOOGL
4/26/2018,51.660999,52.601002,51.022499,52.165501,52.165501,50926000,GOOGL
4/27/2018,52.277,52.584999,51.379501,51.572498,51.572498,40746000,GOOGL
4/30/2018,51.721001,51.918499,50.915001,50.929001,50.929001,34492000,GOOGL
5/1/2018,50.814999,52.086498,50.530499,52.037498,52.037498,35326000,GOOGL
5/2/2018,51.700001,52.199001,51.158001,51.302502,51.302502,34698000,GOOGL
5/3/2018,51.268501,51.5345,50.394501,51.314999,51.314999,39282000,GOOGL
5/4/2018,50.980499,52.594002,50.9025,52.549999,52.549999,36892000,GOOGL
5/7/2018,52.6945,53.25,52.5135,52.973,52.973,34400000,GOOGL
5/8/2018,53.230999,53.261501,52.582001,52.929501,52.929501,26030000,GOOGL
5/9/2018,53.205002,54.700001,53.105499,54.447498,54.447498,47160000,GOOGL
5/10/2018,54.75,55.470501,54.694,55.273499,55.273499,36414000,GOOGL
5/11/2018,55.0205,55.4505,54.861,55.168999,55.168999,30504000,GOOGL
5/14/2018,55.2785,55.907501,55.240002,55.330002,55.330002,39338000,GOOGL
5/15/2018,54.845001,54.956001,53.938999,54.2435,54.2435,35738000,GOOGL
5/16/2018,54.254501,54.719002,54.081501,54.204498,54.204498,25628000,GOOGL
5/17/2018,54.073002,54.549999,53.820999,54.063,54.063,25738000,GOOGL
5/18/2018,53.299999,53.686501,53.234001,53.481998,53.481998,35482000,GOOGL
5/21/2018,53.950001,54.665001,53.900002,54.2005,54.2005,25180000,GOOGL
5/22/2018,54.490002,54.59,53.612999,53.765499,53.765499,22226000,GOOGL
5/23/2018,53.5,54.400002,53.348,54.298,54.298,23740000,GOOGL
5/24/2018,54.345001,54.355999,53.615002,54.272499,54.272499,20604000,GOOGL
5/25/2018,54.327499,54.4785,54.130001,54.203999,54.203999,22224000,GOOGL
5/29/2018,53.799999,54.067001,53.153999,53.4035,53.4035,36076000,GOOGL
5/30/2018,53.674,53.949501,53.327499,53.873501,53.873501,28686000,GOOGL
5/31/2018,54.099998,55.5,53.900002,55,55,79368000,GOOGL
6/1/2018,55.643501,56.908001,55.600498,56.75,56.75,63202000,GOOGL
6/4/2018,56.924999,57.893002,56.849998,57.652,57.652,44754000,GOOGL
6/5/2018,57.733002,58.055,57.373001,57.550999,57.550999,32964000,GOOGL
6/6/2018,57.6385,57.7355,56.816002,57.3475,57.3475,34934000,GOOGL
6/7/2018,57.229,57.293499,56.306,56.721001,56.721001,36108000,GOOGL
6/8/2018,56.560501,56.938999,56.161499,56.635502,56.635502,27284000,GOOGL
6/11/2018,56.646999,57.387001,56.57,57.044998,57.044998,24796000,GOOGL
6/12/2018,57.050999,57.4375,57.050999,57.4095,57.4095,26092000,GOOGL
6/13/2018,57.613998,57.782001,57.168999,57.211498,57.211498,34302000,GOOGL
